,,Llava,VisionZip,SparseVLM,SparseZip
Docvqa(val),docvqa_anls,0.0111223789767169,0.00932906735671313,0.0106156533440578,0.0102643706117358
,end2end_ms_avg,1043.56145033566,873.285705928692,1053.22864740571,1034.40789246929
,exact_match,0.00224340998317443,0.00130865582351841,0.00168255748738082,0.00149560665544962
Pope,pope_acc,Random: 0.877333333333333 popular: 0.859666666666667 adversarial: 0.833666666666667,Random: 0.805 popular: 0.804333333333333 adversarial: 0.783333333333333,Random: 0.868666666666667 popular: 0.853333333333333 adversarial: 0.824666666666667,Random: 0.868666666666667 popular: 0.853333333333333 adversarial: 0.824666666666667
,pope_f1,Random: 0.864904552129222 popular: 0.848397551314368 adversarial: 0.825218914185639,Random: 0.764776839565742 popular: 0.764162314182403 adversarial: 0.745297805642633,Random: 0.853965900667161 popular: 0.839766933721777 adversarial: 0.814002828854314,Random: 0.853965900667161 popular: 0.839766933721777 adversarial: 0.814002828854314
,pope_precision,Random: 0.962418300653595 popular: 0.92247454972592 adversarial: 0.869372693726937,Random: 0.963525835866261 popular: 0.961577350859454 adversarial: 0.903992395437262,Random: 0.961602671118531 popular: 0.925361155698234 adversarial: 0.86671686746988,Random: 0.961602671118531 popular: 0.925361155698234 adversarial: 0.86671686746988
,pope_recall,Random: 0.785333333333333 popular: 0.785333333333333 adversarial: 0.785333333333333,Random: 0.634 popular: 0.634 adversarial: 0.634,Random: 0.768 popular: 0.768666666666667 adversarial: 0.767333333333333,Random: 0.768 popular: 0.768666666666667 adversarial: 0.767333333333333
,end2end_ms_avg,Random: 597.390285756429 popular: 559.383898030599 adversarial: 625.93901381429,Random: 453.366796676636 popular: 386.95304204305 adversarial: 448.617946385702,Random: 646.478933990479 popular: 558.189135482788 adversarial: 651.517873219808,Random: 646.478933990479 popular: 558.189135482788 adversarial: 651.517873219808
MME,mme_acc,OCR: 0.725 artwork: 0.73 celebrity: 0.788235294117647 code_reasoning: 0.55  color: 0.85 commonsense_reasoning: 0.742857142857143 count: 0.833333333333333 existence: 0.983333333333333 landmark: 0.88 numerical_calculation: 0.4 position: 0.766666666666667 posters: 0.751700680272109 scene: 0.8475 text_translation: 0.55,OCR: 0.75 artwork: 0.68 celebrity: 0.667647058823529 code_reasoning: 0.6  color: 0.766666666666667 commonsense_reasoning: 0.692857142857143 count: 0.733333333333333 existence: 0.916666666666667 landmark: 0.87 numerical_calculation: 0.375 position: 0.633333333333333 posters: 0.72108843537415 scene: 0.8425 text_translation: 0.625,OCR: 0.8 artwork: 0.7375 celebrity: 0.708823529411765 code_reasoning: 0.55  color: 0.85 commonsense_reasoning: 0.714285714285714 count: 0.783333333333333 existence: 0.966666666666667 landmark: 0.8725 numerical_calculation: 0.4 position: 0.666666666666667 posters: 0.744897959183674 scene: 0.8625 text_translation: 0.65,OCR: 0.775 artwork: 0.6875 celebrity: 0.676470588235294 code_reasoning: 0.55  color: 0.733333333333333 commonsense_reasoning: 0.685714285714286 count: 0.75 existence: 0.9 landmark: 0.8725 numerical_calculation: 0.375 position: 0.616666666666667 posters: 0.710884353741497 scene: 0.8575 text_translation: 0.65
