end2end_ms_avg,end2end_ms_p50,end2end_ms_p95,mme_acc,mme_acc_plus,mme_count_pair,mme_count_q,subtask
227.8067600250244,213.69647979736328,284.84877014160156,0.65,0.3,20.0,40.0,OCR
234.28613330841065,214.02734375,285.44117584228513,0.5825,0.255,200.0,400.0,artwork
209.4325144599466,209.16350555419922,210.99930877685546,0.6823529411764706,0.38235294117647056,170.0,340.0,celebrity
246.50102462768555,246.39188385009766,282.72998504638673,0.55,0.15,20.0,40.0,code_reasoning
211.26793009440104,211.1233139038086,213.78435440063475,0.6666666666666666,0.4,30.0,60.0,color
265.0066227504185,281.01837158203125,283.89098510742184,0.6071428571428571,0.2714285714285714,70.0,140.0,commonsense_reasoning
212.99116134643555,212.70227813720703,215.91927108764648,0.6,0.36666666666666664,30.0,60.0,count
211.28603693644206,211.3157730102539,212.85490493774415,0.8333333333333334,0.6666666666666666,30.0,60.0,existence
228.2979189682007,210.74491119384766,281.58592224121094,0.775,0.57,200.0,400.0,landmark
267.29152488708496,280.6678466796875,283.1952270507813,0.475,0.1,20.0,40.0,numerical_calculation
211.88296305338542,211.4197235107422,214.11965103149413,0.5833333333333334,0.23333333333333334,30.0,60.0,position
225.04437463461946,213.2555694580078,284.1425323486328,0.6938775510204082,0.4013605442176871,147.0,294.0,posters
212.38463367462157,211.18765258789062,212.6723960876465,0.8375,0.695,200.0,400.0,scene
284.27876434326174,284.437744140625,285.5734085083008,0.5,0.0,20.0,40.0,text_translation
